id,Unnamed: 0,longitude,latitude,cumulative_dist,path_len,point_type,move_time,origin,connector,partial_dist,portname
0,0,-44.3797,-2.5636,0.0,2467.72,o,0,z_106,panama,0.0,PDM
1,1,-44.3699,-2.3148,14.87,2467.72,p,1,z_106,panama,14.87,PDM
2,2,-44.4947,-1.9866,35.85,2467.72,p,2,z_106,panama,20.98,PDM
3,3,-44.8625,-1.4339,75.56,2467.72,p,3,z_106,panama,39.71,PDM
4,4,-51.5093,4.4274,606.45,2467.72,p,4,z_106,panama,530.89,PDM
5,5,-52.9974,5.4533,714.59,2467.72,p,5,z_106,panama,108.14,PDM
6,6,-61.0072,10.6944,1284.71,2467.72,p,6,z_106,panama,570.12,PDM
7,7,-71.6755,12.4622,1921.74,2467.72,p,7,z_106,panama,637.03,PDM
8,8,-79.6753,9.5778,2424.17,2467.72,p,8,z_106,panama,502.43,PDM
9,9,-79.7649,9.3283,2439.99,2467.72,p,9,z_106,panama,15.8199999999997,PDM
10,10,-79.55,8.916,2467.72,2467.72,m,10,z_106,panama,27.73,PDM
0,0,-44.3797,-2.5636,0.0,4118.66,o,0,z_106,capetown,0.0,PDM
1,1,-44.2894,-2.4854,7.16,4118.66,p,1,z_106,capetown,7.16,PDM
2,2,-44.0424,-2.4224,22.46,4118.66,p,2,z_106,capetown,15.3,PDM
3,3,-43.4255,-2.3433,59.81,4118.66,p,3,z_106,capetown,37.35,PDM
4,4,-39.987,-2.8536,268.51,4118.66,p,4,z_106,capetown,208.7,PDM
5,5,-35.3939,-5.2489,578.81,4118.66,p,5,z_106,capetown,310.3,PDM
6,6,20.0,-35.0,4118.66,4118.66,m,6,z_106,capetown,3539.85,PDM
0,0,-44.3797,-2.5636,0.0,5225.3,o,0,z_106,suez,0.0,PDM
1,1,-5.9047,35.7929,3149.13,5225.3,p,1,z_106,suez,3149.13,PDM
2,2,-5.4133,35.8828,3173.7,5225.3,p,2,z_106,suez,24.5699999999997,PDM
3,3,9.7447,37.3399,3910.3,5225.3,p,3,z_106,suez,736.6,PDM
4,4,31.9408,31.5172,5062.61,5225.3,p,4,z_106,suez,1152.31,PDM
5,5,32.4917,30.165,5148.41,5225.3,p,5,z_106,suez,85.8000000000002,PDM
