id,longitude,latitude,cumulative_dist,path_len,point_type,move_time,origin,destination,connector,partial_dist,origin_portname,destination_portname
0,-44.3797,-2.5636,0.0,9903.67,o,0,z_106,z_89,-,0.0,PDM,Dongjiakou
1,-44.3699,-2.3148,14.8700000000008,9903.67,p,1,z_106,z_89,-,14.8700000000008,PDM,Dongjiakou
2,-61.2828,66.6339,4208.61,9903.67,p,2,z_106,z_89,-,4193.74,PDM,Dongjiakou
3,-79.5894,75.4497,4843.42,9903.67,p,3,z_106,z_89,-,634.81,PDM,Dongjiakou
4,-81.1136,75.7741,4873.48,9903.67,p,4,z_106,z_89,-,30.0600000000004,PDM,Dongjiakou
5,-88.6221,76.4101,4988.77,9903.67,p,5,z_106,z_89,-,115.29,PDM,Dongjiakou
6,-95.7704,77.0716,5095.28,9903.67,p,6,z_106,z_89,-,106.509999999999,PDM,Dongjiakou
7,-105.2232,77.1695,5222.33,9903.67,p,7,z_106,z_89,-,127.05,PDM,Dongjiakou
8,-119.1619,77.3199,5407.69,9903.67,p,8,z_106,z_89,-,185.360000000001,PDM,Dongjiakou
9,-166.2184,68.8812,6337.71,9903.67,p,9,z_106,z_89,-,930.02,PDM,Dongjiakou
10,-169.6534,66.068,6524.71,9903.67,p,10,z_106,z_89,-,187.0,PDM,Dongjiakou
11,-172.2387,64.409,6644.0,9903.67,p,11,z_106,z_89,-,119.29,PDM,Dongjiakou
12,-172.6533,64.3311,6655.78,9903.67,p,12,z_106,z_89,-,11.7800000000002,PDM,Dongjiakou
13,160.0497,53.102,7730.17,9903.67,p,13,z_106,z_89,-,1074.39,PDM,Dongjiakou
14,158.2822,51.9704,7824.06,9903.67,p,14,z_106,z_89,-,93.8899999999999,PDM,Dongjiakou
15,156.6731,50.8721,7913.53,9903.67,p,15,z_106,z_89,-,89.47,PDM,Dongjiakou
16,143.4337,46.0412,8515.38,9903.67,p,16,z_106,z_89,-,601.85,PDM,Dongjiakou
17,141.9195,45.5095,8586.52,9903.67,p,17,z_106,z_89,-,71.1399999999999,PDM,Dongjiakou
18,128.9108,35.047,9450.57,9903.67,p,18,z_106,z_89,-,864.05,PDM,Dongjiakou
19,127.3454,34.4565,9535.66,9903.67,p,19,z_106,z_89,-,85.09,PDM,Dongjiakou
20,126.5232,34.3014,9577.54,9903.67,p,20,z_106,z_89,-,41.88,PDM,Dongjiakou
21,120.2344,36.0287,9903.67,9903.67,d,21,z_106,z_89,-,326.13,PDM,Dongjiakou
0,-44.3797,-2.5636,0.0,4810.14,o,0,z_106,n_4941,-,0.0,PDM,Monfalcone
1,-5.9047,35.7929,3149.13,4810.14,p,1,z_106,n_4941,-,3149.13,PDM,Monfalcone
2,15.5218,38.2963,4186.82,4810.14,p,2,z_106,n_4941,-,1037.69,PDM,Monfalcone
3,15.6436,38.0127,4204.77,4810.14,p,3,z_106,n_4941,-,17.95,PDM,Monfalcone
4,16.0607,37.9382,4225.06,4810.14,p,4,z_106,n_4941,-,20.29,PDM,Monfalcone
5,18.3442,39.8046,4379.85,4810.14,p,5,z_106,n_4941,-,154.79,PDM,Monfalcone
6,18.5095,40.1371,4401.2,4810.14,p,6,z_106,n_4941,-,21.35,PDM,Monfalcone
7,13.9038,44.7817,4746.68,4810.14,p,7,z_106,n_4941,-,345.48,PDM,Monfalcone
8,13.5086,45.496,4792.71,4810.14,p,8,z_106,n_4941,-,46.03,PDM,Monfalcone
9,13.5474,45.7628,4808.81,4810.14,p,9,z_106,n_4941,-,16.1,PDM,Monfalcone
10,13.5547,45.7846,4810.15,4810.14,d,10,z_106,n_4941,-,1.34,PDM,Monfalcone
0,-44.3797,-2.5636,0.0,1946.87,o,0,z_106,n_2060,-,0.0,PDM,Kamsar
1,-44.2894,-2.4854,7.15999999999986,1946.87,p,1,z_106,n_2060,-,7.15999999999986,PDM,Kamsar
2,-14.629,10.6418,1946.87,1946.87,d,2,z_106,n_2060,-,1939.71,PDM,Kamsar
0,-44.3797,-2.5636,0.0,3319.14,o,0,z_106,n_1375,-,0.0,PDM,Convent
1,-44.3699,-2.3148,14.8599999999997,3319.14,p,1,z_106,n_1375,-,14.8599999999997,PDM,Convent
2,-44.4947,-1.9866,35.8499999999999,3319.14,p,2,z_106,n_1375,-,20.9900000000002,PDM,Convent
3,-44.8625,-1.4339,75.5599999999999,3319.14,p,3,z_106,n_1375,-,39.71,PDM,Convent
4,-69.1868,19.3018,1971.61,3319.14,p,4,z_106,n_1375,-,1896.05,PDM,Convent
5,-81.0997,25.13,2720.27,3319.14,p,5,z_106,n_1375,-,748.66,PDM,Convent
